2 0 2 BBGCC.F.G.HJFAA.HJFDDDI.....I.EE....
2 1 1 BBGCCJF.G.HJFAA.H.FDDDI.....I.EE.... J99
2 1 1 BBGCC.F.G.H.FAA.H.FDDDI.....IJEE...J J97
2 1 1 BBGCC.F.G.H.FAA.H.FDDDIJ....IJEE.... J98
3 1 2 BBGCC.F.G.HJF.AAHJFDDDI.....I.EE.... A99
3 1 2 BBGCC.F.G.HJFAA.HJFDDDI.....I.....EE E96
3 1 2 BBG.CCF.G.HJFAA.HJFDDDI.....I.EE.... C99
3 1 2 BBGCC...G.HJFAA.HJFDDDI.F...I.EE.... F99
3 1 2 BBGCC.F.G.HJFAA.HJFDDDI.....I....EE. E97
3 1 2 BBGCC.F.G.HJFAA.HJFDDDI.....I...EE.. E98
3 1 2 BBGCC.F.G.H.FAA.HJFDDDIJ....I.EE.... J99
3 1 2 BBGCC.F.G.HJFAA.HJFDDDI.....I..EE... E99
3 1 2 BBGCC.F.G.HJFAA.HJFDDD......I.EE..I. I99
3 2 1 BBGCCJF.G.HJFAA.H.FDDDI.....I..EE... J99 E99
3 2 1 BBGCC.F.G.H.FAA.H.FDDDI.....IJ...EEJ J97 E97
3 2 1 BBGCC.F.G.H.FAA.H.FDDDIJ....IJ...EE. J98 E97
3 2 1 BBGCCJF.G.HJFAA.H.FDDD......I.EE..I. J99 I99
3 2 1 BBGCC.F.G.H.FAA.H.FDDDIJ....IJ..EE.. J98 E98
3 2 1 BBGCC.F.G.H.FAA.H.FDDDIJ....IJ.EE... J98 E99
3 2 1 BBGCCJF.G.HJF.AAH.FDDDI.....I.EE.... J99 A99
3 2 1 BBGCC.F.G.H.FAA.H.FDDD.J....IJEE..I. J98 I99
3 2 1 BBGCC.F.G.H.FAA.H.FDDDIJ....IJ....EE J98 E96
3 2 1 BBGCC.F.G.H.F.AAH.FDDDIJ....IJEE.... J98 A99
3 2 1 BBGCCJ..G.HJFAA.H.FDDDI.F...I.EE.... F99 J99
3 2 1 BBGCC...G.H.FAA.H.FDDDIJF...IJEE.... F99 J98
3 2 1 BBG.CCF.G.H.FAA.H.FDDDIJ....IJEE.... C99 J98
3 2 1 BBGCCJF.G.HJFAA.H.FDDDI.....I.....EE J99 E96
3 2 1 BBGCC.F.G.H.FAA.H.FDDDI.....IJ..EE.J J97 E98
3 2 1 BBGCC.F.G.H.FAA.H.FDDDI.....IJ.EE..J J97 E99
3 2 1 BBGCC.F.G.H.FAA.H.FDDD......IJEE..IJ J97 I99
3 2 1 BBGCC.F.G.H.F.AAH.FDDDI.....IJEE...J J97 A99
3 2 1 BBGCC...G.H.FAA.H.FDDDI.F...IJEE...J F99 J97
3 2 1 BBG.CCF.G.H.FAA.H.FDDDI.....IJEE...J C99 J97
3 2 1 BBGCCJF.G.HJFAA.H.FDDDI.....I....EE. J99 E97
3 2 1 BBGCCJF.G.HJFAA.H.FDDDI.....I...EE.. J99 E98
4 2 2 BBG.CCF.G.HJF.AAHJFDDDI.....I.EE.... C99 A99
4 2 2 BBGCC.F.G.HJFAA.HJFDDD......I..EE.I. I99 E99
4 2 2 BBGCC.F.G.HJF.AAHJFDDDI.....I.....EE A99 E96
4 2 2 BBGCC.F.G.HJFAA.HJF..DDD....I.EE..I. D98 I99
4 2 2 BBGCC.F.G.HJFAA.HJF.DDD.....I.EE..I. D99 I99
4 2 2 BBGCC.F.G..JFAA.HJFDDDH.....I.EE..I. H99 I99
4 2 2 BBGCC...G.HJ.AA.HJFDDDI.F...I.FEE... F98 E99
4 2 2 BBGCC.F.G.H.FAA.HJFDDD.J....I.EE..I. J99 I99
4 2 2 BBGCC.F.G.H.FAA.HJFDDDIJ....I...EE.. J99 E98
4 2 2 BBGCC...G.HJ.AA.HJFDDDI.F...I.F.EE.. F98 E98
4 2 2 BBGCC...G.HJ.AA.HJFDDDI.F...I.F..EE. F98 E97
4 2 2 BBGCC...G.HJFAA.HJFDDDI.F...I...EE.. F99 E98
4 2 2 BBGCC...G.HJFAA.HJFDDDI.F...I..EE... F99 E99
4 2 2 BBG.CCF.G.HJFAA.HJFDDDI.....I....EE. C99 E97
4 2 2 BBGCC...G.HJFAA.HJFDDD..F...I.EE..I. F99 I99
4 2 2 BBGCC...G.H.FAA.HJFDDDIJF...I.EE.... F99 J99
4 2 2 BBG.CCF.G.HJFAA.HJFDDDI.....I...EE.. C99 E98
4 2 2 BBGCC.F.G.H.FAA.HJFDDDIJ....I..EE... J99 E99
4 2 2 BBG.CCF.G.HJFAA.HJFDDDI.....I..EE... C99 E99
4 2 2 BBGCC.F.G.H.FAA.HJFDDDIJ....I.....EE J99 E96
4 2 2 BBG.CCF.G.HJFAA.HJFDDD......I.EE..I. C99 I99
4 2 2 BBG.CCF.G.H.FAA.HJFDDDIJ....I.EE.... C99 J99
4 2 2 BBG.CC..G.HJFAA.HJFDDDI.F...I.EE.... C99 F99
4 2 2 BBGCC...G.HJ.AA.HJFDDDI.F...I.F...EE F98 E96
4 2 2 BBGCC...G.HJFAA.HJFDDDI.F...I.....EE F99 E96
4 2 2 BBGCC...G.HJFAA.HJFDDDI.F...I....EE. F99 E97
4 2 2 BBG.CCF.G.HJFAA.HJFDDDI.....I.....EE C99 E96
4 2 2 BBGCC.F.G.HJF.AAHJFDDDI.....I....EE. A99 E97
4 2 2 BBGCC.F.G.HJFAA.HJFDDD......I...EEI. I99 E98
4 2 2 BBGCC.F.G.HJF.AAHJFDDDI.....I...EE.. A99 E98
4 2 2 BBGCC.F.G.HJF.AAHJFDDDI.....I..EE... A99 E99
4 2 2 BBGCC.F.G.H.FAA.HJFDDDIJ....I....EE. J99 E97
4 2 2 BBGCC.F.G.HJF.AAHJFDDD......I.EE..I. A99 I99
4 2 2 BBGCC.F.G.H.F.AAHJFDDDIJ....I.EE.... J99 A99
4 2 2 BBGCC...G.HJF.AAHJFDDDI.F...I.EE.... F99 A99
4 3 1 BBG.CCF.G.H.FAA.H.FDDDIJ....IJ...EE. C99 J98 E97
4 3 1 BBGCC.F.G.H.F.AAH.FDDDIJ....IJ...EE. J98 A99 E97
4 3 1 BBGCCJ..G.HJ.AA.H.FDDDI.F...I.F..EE. F98 J99 E97
4 3 1 BBGCC...G.H..AA.H.FDDDI.F...IJF..EEJ F98 J97 E97
4 3 1 BBGCC...G.H.FAA.H.FDDDI.F...IJ...EEJ F99 J97 E97
4 3 1 BBGCCJ..G.HJFAA.H.FDDDI.F...I.....EE F99 J99 E96
4 3 1 BBG.CCF.G.H.FAA.H.FDDDI.....IJ...EEJ C99 J97 E97
4 3 1 BBGCCJF.G.HJF.AAH.FDDDI.....I..EE... J99 A99 E99
4 3 1 BBGCC.F.G.H.F.AAH.FDDDI.....IJ...EEJ J97 A99 E97
4 3 1 BBGCCJ..G.HJ.AA.H.FDDDI.F...I.FEE... F98 J99 E99
4 3 1 BBGCCJ..G.HJFAA.H.FDDDI.F...I..EE... F99 J99 E99
4 3 1 BBGCCJ..G.HJ.AA.H.FDDDI.F...I.F.EE.. F98 J99 E98
4 3 1 BBGCCJF.G.HJFAA.H.FDDD......I..EE.I. J99 I99 E99
4 3 1 BBGCCJF.G.HJFAA.H.FDDD......I...EEI. J99 I99 E98
4 3 1 BBGCC...G.H.F.AAH.FDDDIJF...IJEE.... F99 J98 A99
4 3 1 BBGCC.F.G.H.FAA.H.FDDD.J....IJ.EE.I. J98 I99 E99
4 3 1 BBGCC.F.G.H.FAA.H.FDDD.J....IJ..EEI. J98 I99 E98
4 3 1 BBGCCJF.G.HJF.AAH.FDDDI.....I.....EE J99 A99 E96
4 3 1 BBGCC.F.G.H.FAA.H.F.DDD.....IJEE..IJ J97 D99 I99
4 3 1 BBGCC.F.G.H.F.AAH.FDDD......IJEE..IJ J97 A99 I99
4 3 1 BBGCC.F.G.H.F.AAH.FDDDIJ....IJ....EE J98 A99 E96
4 3 1 BBGCC.F.G...FAA.H.FDDDH.....IJEE..IJ H99 J97 I99
4 3 1 BBGCC...G.H.FAA.H.FDDD..F...IJEE..IJ F99 J97 I99
4 3 1 BBGCC.F.G.H.FAA.H.F.DDDJ....IJEE..I. J98 D99 I99
4 3 1 BBG.CCF.G.H.FAA.H.FDDD......IJEE..IJ C99 J97 I99
4 3 1 BBGCC.F.G.H.F.AAH.FDDDI.....IJ.EE..J J97 A99 E99
4 3 1 BBGCC...G.H..AA.H.FDDDI.F...IJFEE..J F98 J97 E99
4 3 1 BBGCC...G.H.FAA.H.FDDDI.F...IJ.EE..J F99 J97 E99
4 3 1 BBG.CC..G.H.FAA.H.FDDDIJF...IJEE.... C99 F99 J98
4 3 1 BBG.CCF.G.H.FAA.H.FDDDI.....IJ.EE..J C99 J97 E99
4 3 1 BBG.CCF.G.H.F.AAH.FDDDI.....IJEE...J C99 J97 A99
4 3 1 BBGCC.F.G.H.F.AAH.FDDDI.....IJ..EE.J J97 A99 E98
4 3 1 BBGCC...G.H..AA.H.FDDDI.F...IJF.EE.J F98 J97 E98
4 3 1 BBGCC.F.G.H.FAA.H.FDDD......IJ..EEIJ J97 I99 E98
4 3 1 BBGCC...G.H.FAA.H.FDDDI.F...IJ..EE.J F99 J97 E98
4 3 1 BBG.CCF.G.H.FAA.H.FDDDI.....IJ..EE.J C99 J97 E98
4 3 1 BBGCCJ..G.HJFAA.H.FDDDI.F...I...EE.. F99 J99 E98
4 3 1 BBG.CCF.G.H.F.AAH.FDDDIJ....IJEE.... C99 J98 A99
4 3 1 BBGCC...G.H..AA.H.FDDDIJF...IJF...EE F98 J98 E96
4 3 1 BBGCC...G.H.FAA.H.FDDDIJF...IJ....EE F99 J98 E96
4 3 1 BBGCCJ..G.HJ.AA.H.FDDDI.F...I.F...EE F98 J99 E96
4 3 1 BBG.CCF.G.H.FAA.H.FDDDIJ....IJ....EE C99 J98 E96
4 3 1 BBGCC.F.G.H.F.AAH.FDDD.J....IJEE..I. J98 A99 I99
4 3 1 BBGCC.F.G...FAA.H.FDDDHJ....IJEE..I. H99 J98 I99
4 3 1 BBGCC...G.H.FAA.H.FDDD.JF...IJEE..I. F99 J98 I99
4 3 1 BBGCCJ..G.HJFAA.H.FDDDI.F...I....EE. F99 J99 E97
4 3 1 BBG.CCF.G.H.FAA.H.FDDD.J....IJEE..I. C99 J98 I99
4 3 1 BBGCCJF.G.HJF.AAH.FDDDI.....I....EE. J99 A99 E97
4 3 1 BBGCCJF.G.HJF.AAH.FDDDI.....I...EE.. J99 A99 E98
4 3 1 BBGCCJ..G.HJF.AAH.FDDDI.F...I.EE.... F99 J99 A99
4 3 1 BBGCC.F.G.H.FAA.H.FDDD......IJ.EE.IJ J97 I99 E99
4 3 1 BBGCC.F.G.H.F.AAH.FDDDIJ....IJ.EE... J98 A99 E99
4 3 1 BBGCC...G.H..AA.H.FDDDIJF...IJFEE... F98 J98 E99
4 3 1 BBG.CC..G.H.FAA.H.FDDDI.F...IJEE...J C99 F99 J97
4 3 1 BBGCC...G.H.FAA.H.FDDDIJF...IJ.EE... F99 J98 E99
4 3 1 BBG.CCF.G.H.FAA.H.FDDDIJ....IJ.EE... C99 J98 E99
4 3 1 BBGCC.F.G.H.F.AAH.FDDDIJ....IJ..EE.. J98 A99 E98
4 3 1 BBGCC...G.H..AA.H.FDDDIJF...IJF.EE.. F98 J98 E98
4 3 1 BBGCC...G.H.FAA.H.FDDDIJF...IJ..EE.. F99 J98 E98
4 3 1 BBG.CCF.G.H.FAA.H.FDDDIJ....IJ..EE.. C99 J98 E98
4 3 1 BBGCC...G.H.F.AAH.FDDDI.F...IJEE...J F99 J97 A99
4 3 1 BBGCCJF.G.HJFAA.H.F..DDD....I.EE..I. J99 D98 I99
4 3 1 BBGCCJF.G.HJFAA.H.F.DDD.....I.EE..I. J99 D99 I99
