2 0 2 ..FGBB..FGH..AAGH......ICCCDDI..EE..
3 1 2 ..F.BB..FGH..AAGH....G.ICCCDDI..EE.. G99
3 1 2 ..FGBB..FGH.AA.GH......ICCCDDI..EE.. A99
3 1 2 ..FGBB..FGH..AAGH......ICCCDDI...EE. E99
3 1 2 ..FGBB..FGH..AAGH.......CCCDDI..EE.I I99
3 1 2 ..FGBB..FG...AAGH.....HICCCDDI..EE.. H99
3 1 2 ..FGBB..FGH..AAGH......ICCCDDIEE.... E98
3 1 2 ..FGBB..FGH..AAGH......ICCCDDI....EE E98
3 1 2 ..FGBB..FGH..AAGH......ICCCDDI.EE... E99
4 1 3 ..FGBB..FGHI.AAGHI......CCCDD...EE.. I98
4 1 3 ..FGBB..FGH..AAGHI.....ICCCDD...EE.. I99
4 2 2 ..F.BB..FGH..AAGH....G..CCCDDI..EE.I G99 I99
4 2 2 ..FGBB..FGH..AAGH.......CCCDDI...EEI I99 E99
4 2 2 ..FGBB..FG...AAGH.....H.CCCDDI..EE.I H99 I99
4 2 2 ..FGBB..FGH.AA.GH......ICCCDDIEE.... A99 E98
4 2 2 ..FGBB..FG...AAGH.....HICCCDDI...EE. H99 E99
4 2 2 ..F.BB..FGH.AA.GH....G.ICCCDDI..EE.. G99 A99
4 2 2 ..FGBB..FGH.AA.GH......ICCCDDI....EE A99 E98
4 2 2 ..FGBB..FGH.AA.GH......ICCCDDI.EE... A99 E99
4 2 2 ..F.BB..FGH..AAGH....G.ICCCDDIEE.... G99 E98
4 2 2 ..FGBB..FGH.AA.GH......ICCCDDI...EE. A99 E99
4 2 2 ..FGBB..FGH.AA.GH.......CCCDDI..EE.I A99 I99
4 2 2 ..F.BB..FG...AAGH....GHICCCDDI..EE.. G99 H99
4 2 2 ..FBB...FGH..AAGH....G.ICCCDDI..EE.. G99 B99
4 2 2 ..FGBB..FG..AA.GH.....HICCCDDI..EE.. H99 A99
4 2 2 ..F.BB..FGH..AAGH....G.ICCCDDI.EE... G99 E99
4 2 2 ..FGBB..FGH..AAGH.......CCCDDIEE...I I99 E98
4 2 2 ..FGBB..FG...AAGH.....HICCCDDI.EE... H99 E99
4 2 2 ..F.BB..FGH..AAGH....G.ICCCDDI....EE G99 E98
4 2 2 ..FGBB..FG...AAGH.....HICCCDDI....EE H99 E98
4 2 2 ..FGBB..FG...AAGH.....HICCCDDIEE.... H99 E98
4 2 2 ..F.BB..FGH..AAGH....G.ICCCDDI...EE. G99 E99
4 2 2 ..FGBB..FGH..AAGH.......CCCDDI.EE..I I99 E99
5 2 3 ..FGBB..FGHI.AAGHI......CCCDD.....EE I98 E98
5 2 3 ..FGBB..FGHI.AAGHI......CCC.DD..EE.. I98 D99
5 2 3 ..FGBB..FGHI.AAGHI......CCCDD....EE. I98 E99
5 2 3 ..FGBB..FGH..AAGHI.....ICCCDD....EE. I99 E99
5 2 3 ..FGBB..FGH..AAGHI.....ICCC.DD..EE.. I99 D99
5 2 3 ..F.BB..FGH..AAGHI...G.ICCCDD...EE.. G99 I99
5 2 3 ..FGBB..FGHIAA.GHI......CCCDD...EE.. A99 I98
5 2 3 ..F.BB..FGHI.AAGHI...G..CCCDD...EE.. G99 I98
5 2 3 ..FGBB..FGH.AA.GHI.....ICCCDD...EE.. A99 I99
5 2 3 ..FGBB..FGHI.AAGHI......CCCDD..EE... I98 E99
5 2 3 ...GBB...GH.AAFGH...F..ICCCDDI..EE.. F98 A99
5 2 3 ...GBB..FGH.AAFGH......ICCCDDI..EE.. F99 A99
5 2 3 ..FGBB..FGH..AAGHI.....ICCCDD..EE... I99 E99
5 2 3 ..FGBB..FGH..AAGHI.....ICCCDD.....EE I99 E98
5 2 3 ..FGBB..FGH..AAGHI.....ICCCDD.EE.... I99 E98
5 2 3 ..FGBB..FGHI.AAGHI......CCCDD.EE.... I98 E98
5 2 3 ..FGBB..FG.I.AAGHI....H.CCCDD...EE.. H99 I98
5 2 3 ..FGBB..FG...AAGHI....HICCCDD...EE.. H99 I99
5 3 2 ..FGBB..FGH.AA.GH.......CCCDDI...EEI A99 I99 E99
5 3 2 ..F.BB..FGH.AA.GH....G.ICCCDDI...EE. G99 A99 E99
5 3 2 ..F.BB..FG..AA.GH....GHICCCDDI..EE.. G99 H99 A99
5 3 2 ..F.BB..FGH..AAGH....G..CCCDDIEE...I G99 I99 E98
5 3 2 ..FBB...FGH.AA.GH....G.ICCCDDI..EE.. G99 B99 A99
5 3 2 ..FGBB..FG...AAGH.....H.CCCDDIEE...I H99 I99 E98
5 3 2 ..FGBB..FG..AA.GH.....HICCCDDI...EE. H99 A99 E99
5 3 2 ..FGBB..FGH.AA.GH.......CCCDDI.EE..I A99 I99 E99
5 3 2 ..F.BB..FG...AAGH....GHICCCDDI...EE. G99 H99 E99
5 3 2 ..FGBB..FGH.AA.GH.......CCCDDIEE...I A99 I99 E98
5 3 2 ..FGBB..FG..AA.GH.....HICCCDDIEE.... H99 A99 E98
5 3 2 ..F.BB..FGH.AA.GH....G.ICCCDDIEE.... G99 A99 E98
5 3 2 ..F.BB..FGH.AA.GH....G.ICCCDDI.EE... G99 A99 E99
5 3 2 ..FGBB..FG...AAGH.....H.CCCDDI.EE..I H99 I99 E99
5 3 2 ..FGBB..FG..AA.GH.....H.CCCDDI..EE.I H99 A99 I99
5 3 2 ..FGBB..FG...AAGH.....H.CCCDDI...EEI H99 I99 E99
5 3 2 ..F.BB..FGH..AAGH....G..CCCDDI.EE..I G99 I99 E99
5 3 2 ..FBB...FGH..AAGH....G.ICCCDDI....EE G99 B99 E98
5 3 2 ..FBB...FGH..AAGH....G.ICCCDDI...EE. G99 B99 E99
5 3 2 ..F.BB..FGH..AAGH....G..CCCDDI...EEI G99 I99 E99
5 3 2 ..FBBI..FGHI.AAGH....G..CCCDD...EE.. G99 B99 I97
5 3 2 ..F.BB..FGH.AA.GH....G..CCCDDI..EE.I G99 A99 I99
5 3 2 ..F.BB..FG...AAGH....GHICCCDDI....EE G99 H99 E98
5 3 2 ..F.BB..FG...AAGH....GH.CCCDDI..EE.I G99 H99 I99
5 3 2 ..FBB...FGH..AAGH....G..CCCDDI..EE.I G99 B99 I99
5 3 2 ..FBB...FG...AAGH....GHICCCDDI..EE.. G99 B99 H99
5 3 2 ..FBB...FGH..AAGH....G.ICCCDDI.EE... G99 B99 E99
5 3 2 ..F.BB..FG...AAGH....GHICCCDDIEE.... G99 H99 E98
5 3 2 ..F.BB..FG...AAGH....GHICCCDDI.EE... G99 H99 E99
5 3 2 ..FBB...FGH..AAGH....G.ICCCDDIEE.... G99 B99 E98
5 3 2 ..FGBB..FG..AA.GH.....HICCCDDI.EE... H99 A99 E99
5 3 2 ..FGBB..FG..AA.GH.....HICCCDDI....EE H99 A99 E98
5 3 2 ..F.BB..FGH.AA.GH....G.ICCCDDI....EE G99 A99 E98
6 3 3 ..F.BB..FGHI.AAGHI...G..CCCDD....EE. G99 I98 E99
6 3 3 ..FGBB..FGHI.AAGHI......CCC.DDEE.... I98 D99 E98
6 3 3 ..FGBB..FGHI.AAGHI......CCC.DD...EE. I98 D99 E99
6 3 3 ..F.BB..FGHIAA.GHI...G..CCCDD...EE.. G99 A99 I98
6 3 3 ..F.BB..FGH.AA.GHI...G.ICCCDD...EE.. G99 A99 I99
6 3 3 ..FGBB..FGH..AAGHI.....ICCC.DD...EE. I99 D99 E99
6 3 3 ..F.BB..FGHI.AAGHI...G..CCCDD.EE.... G99 I98 E98
6 3 3 ..FGBB..FGHI.AAGHI......CCC.DD....EE I98 D99 E98
6 3 3 ..FGBB..FGHI.AAGHI.......CCCDD..EE.. I98 C99 D99
6 3 3 ....BB...GH.AAFGH...FG.ICCCDDI..EE.. F98 G99 A99
6 3 3 ....BB..FGH.AAFGH....G.ICCCDDI..EE.. F99 G99 A99
6 3 3 ..F.BB..FGH..AAGHI...G.ICCCDD....EE. G99 I99 E99
6 3 3 ..FGBB..FG...AAGHI....HICCCDD....EE. H99 I99 E99
