0 0 0 GBBB..G..ICCHAAI.JHDDD.JH...EEFFF...
1 1 0 G.BBB.G..ICCHAAI.JHDDD.JH...EEFFF... B99
1 1 0 GBBB..G..ICCHAAI.JH.DDDJH...EEFFF... D99
1 1 0 GBBB..G..ICCHAAI.JHDDD.JH...EE.FFF.. F99
1 1 0 GBBB..G..ICCHAAI.JHDDD.JH...EE...FFF F97
1 1 0 GBBB..G..ICCHAAI.JHDDD.JHEE...FFF... E97
1 1 0 G..BBBG..ICCHAAI.JHDDD.JH...EEFFF... B98
1 1 0 GBBB..G..ICCHAAI.JHDDD.JH.EE..FFF... E98
1 1 0 GBBB..G..ICCHAAI.JHDDD.JH..EE.FFF... E99
1 1 0 GBBB..G..ICCHAAI.JHDDD.JH...EE..FFF. F98
2 2 0 G.BBB.G..ICCHAAI.JHDDD.JH...EE..FFF. B99 F98
2 2 0 G..BBBG..ICCHAAI.JH.DDDJH...EEFFF... B98 D99
2 2 0 GBBB..G..ICCHAAI.JHDDD.JHEE....FFF.. E97 F99
2 2 0 GBBB..G..ICCHAAI..HDDD..HEE..JFFF..J J98 E97
2 2 0 GBBB..G..ICCHAAI.JHDDD.JH..EE...FFF. E99 F98
2 2 0 GBBB..G..ICC.AAI.JHDDD.JH...EEH.FFF. H99 F98
2 2 0 GBBB..G..ICCHAAI..HDDD.JHEE..JFFF... J99 E97
2 2 0 G.BBB.G..ICCHAAI.JHDDD.JH...EE...FFF B99 F97
2 2 0 G..BBBG..ICCHAAI.JHDDD.JHEE...FFF... B98 E97
2 2 0 GBBB..G..ICCHAAI.JHDDD.JH.EE.....FFF E98 F97
2 2 0 G.BBB.G..ICCHAAI.JHDDD.JH...EE.FFF.. B99 F99
2 2 0 GBBB..G..ICCHAAI.JH.DDDJH...EE...FFF D99 F97
2 2 0 GBBB..G..ICCHAAI.JHDDD.JH..EE....FFF E99 F97
2 2 0 GBBB..G..ICC.AAI.JHDDD.JH...EEH..FFF H99 F97
2 2 0 G.BBB.G..ICCHAAI.JHDDD.JHEE...FFF... B99 E97
2 2 0 G..BBBG..ICCHAAI.JHDDD.JH...EE...FFF B98 F97
2 2 0 GBBB..G..ICCHAAI.JHDDD.JH.EE...FFF.. E98 F99
2 2 0 G.BBB.G..ICCHAAI.JHDDD.JH.EE..FFF... B99 E98
2 2 0 GBBB..G..ICCHAAI.JHDDD.JH..EE..FFF.. E99 F99
2 2 0 GBBB..G..ICCHAAI.JHDDD.JHEE......FFF E97 F97
2 2 0 GBBB..G..ICCHAAI.JHDDD.JH.EE....FFF. E98 F98
2 2 0 GBBB..G..ICC.AAI.JHDDD.JH...EEHFFF.. H99 F99
2 2 0 G.BBB.G..ICCHAAI.JHDDD.JH..EE.FFF... B99 E99
2 2 0 G..BBBG..ICCHAAI.JHDDD.JH...EE.FFF.. B98 F99
2 2 0 GBBB..G..ICCHAAI.JH.DDDJH...EE..FFF. D99 F98
2 2 0 G.BBB.G..ICCHAAI.JH.DDDJH...EEFFF... B99 D99
2 2 0 GBBB..G..ICCHAAI.JH.DDDJH...EE.FFF.. D99 F99
2 2 0 G..BBBG..ICCHAAI.JHDDD.JH...EE..FFF. B98 F98
2 2 0 GBBB..G..ICCHAAI.JH.DDDJHEE...FFF... D99 E97
2 2 0 GBBB..G..ICCHAAI..HDDD..H..EEJFFF..J J98 E99
2 2 0 GBBB..G..ICCHAAI..HDDD.JH..EEJFFF... J99 E99
2 2 0 GBBB..G..ICCHAAI.JH.DDDJH.EE..FFF... D99 E98
2 2 0 GBBB..G..ICCHAAI.JHDDD.JHEE.....FFF. E97 F98
2 2 0 GBBB..G..ICCHAAI..HDDD..H.EE.JFFF..J J98 E98
2 2 0 GBBB..G..ICCHAAI..HDDD.JH.EE.JFFF... J99 E98
2 2 0 GBBB..G..ICCHAAI.JH.DDDJH..EE.FFF... D99 E99
2 2 0 G..BBBG..ICCHAAI.JHDDD.JH.EE..FFF... B98 E98
2 2 0 G..BBBG..ICCHAAI.JHDDD.JH..EE.FFF... B98 E99
3 3 0 G.BBB.G..ICCHAAI.JHDDD.JHEE.....FFF. B99 E97 F98
3 3 0 GBBB..G..ICCHAAI.JH.DDDJHEE....FFF.. D99 E97 F99
3 3 0 GBBB..G..ICC.AAI.JH.DDDJH...EEH.FFF. H99 D99 F98
3 3 0 GBBB..G..ICCHAAI..HDDD.JHEE..J...FFF J99 E97 F97
3 3 0 G.BBB.G..ICCHAAI.JH.DDDJHEE...FFF... B99 D99 E97
3 3 0 G..BBBG..ICCHAAI..HDDD.JH..EEJFFF... B98 J99 E99
3 3 0 GBBB..G..ICCHAAI..H.DDD.H..EEJFFF..J J98 D99 E99
3 3 0 GBBB..G..ICCAA.I.JHDDD.JH...EEH.FFF. H99 A99 F98
3 3 0 G..BBBG..ICCHAAI.JH.DDDJH...EE...FFF B98 D99 F97
3 3 0 G..BBBG..ICC.AAI.JHDDD.JH...EEH.FFF. B98 H99 F98
3 3 0 .BBB..G..ICCGAAI.JHDDD.JH...EEH.FFF. G99 H99 F98
3 3 0 GBBB..G..ICCHAAI..HDDD..HEE..J..FFFJ J98 E97 F98
3 3 0 GBBB..G..ICCHAAI..HDDD..H..EEJ..FFFJ J98 E99 F98
3 3 0 GBBB..G..ICC.AAI.JHDDD.JHEE...H.FFF. H99 E97 F98
3 3 0 GBBB..G..ICCHAAI..HDDD.JH..EEJ..FFF. J99 E99 F98
3 3 0 GBBB..G..ICC.AAI.JHDDD.JH..EE.H.FFF. H99 E99 F98
3 3 0 GBBB..G..ICCHAAI.JH.DDDJH..EE...FFF. D99 E99 F98
3 3 0 G..BBBG..ICCHAAI.JHDDD.JH..EE...FFF. B98 E99 F98
3 3 0 GBBB..G..ICCHAAI..H..DDDHEE..JFFF..J J98 D98 E97
3 3 0 G.BBB.G..ICCHAAI.JHDDD.JHEE......FFF B99 E97 F97
3 3 0 GBBB..G..ICCHAAI.JH.DDDJH.EE.....FFF D99 E98 F97
3 3 0 GBBB..G..ICC.AAI.JHDDD.JHEE...H..FFF H99 E97 F97
3 3 0 GBBB..G..ICCHAAI..H.DDD.HEE..JFFF..J J98 D99 E97
3 3 0 G..BBBG..ICCHAAI..HDDD..HEE..JFFF..J B98 J98 E97
3 3 0 G..BBBG..ICCHAAI.JHDDD.JHEE......FFF B98 E97 F97
3 3 0 G.BBB.G..ICCHAAI..HDDD..HEE..JFFF..J B99 J98 E97
3 3 0 GBBB..G..ICCHAAI..HDDD..HEE..J.FFF.J J98 E97 F99
3 3 0 G.BBB.G..ICCHAAI.JHDDD.JH.EE...FFF.. B99 E98 F99
3 3 0 GBBB..G..ICCHAAI..HDDD.JH..EEJ...FFF J99 E99 F97
3 3 0 GBBB..G..ICCHAAI..HDDD.JHEE..J.FFF.. J99 E97 F99
3 3 0 GBBB..G..ICC.AAI.JHDDD.JHEE...HFFF.. H99 E97 F99
3 3 0 GBBB..G..ICCHAAI.JH.DDDJHEE......FFF D99 E97 F97
3 3 0 G..BBBG..ICCHAAI..HDDD..H..EEJFFF..J B98 J98 E99
3 3 0 G..BBBG..ICCHAAI.JHDDD.JHEE....FFF.. B98 E97 F99
3 3 0 GBBB..G..ICCHAAI..HDDD..H.EE.J..FFFJ J98 E98 F98
3 3 0 GBBB..G..ICCHAAI..HDDD.JH.EE.J..FFF. J99 E98 F98
3 3 0 G.BBB.G..ICCHAAI.JHDDD.JHEE....FFF.. B99 E97 F99
3 3 0 GBBB..G..ICCAA.I.JHDDD.JH...EEH..FFF H99 A99 F97
3 3 0 G.BBB.G..ICCHAAI.JH.DDDJH.EE..FFF... B99 D99 E98
3 3 0 G..BBBG..ICCHAAI.JHDDD.JH.EE....FFF. B98 E98 F98
3 3 0 GBBB..G..ICC.AAI.JH.DDDJH...EEHFFF.. H99 D99 F99
3 3 0 G..BBBG..ICCHAAI..HDDD..H.EE.JFFF..J B98 J98 E98
3 3 0 GBBB..G..ICCHAAI..HDDD.JH..EEJ.FFF.. J99 E99 F99
