0 0 0 ..FGBB..FGH..AAGH......ICCCDDI..EE..
1 1 0 ..F.BB..FGH..AAGH....G.ICCCDDI..EE.. G99
1 1 0 ..FGBB..FGH.AA.GH......ICCCDDI..EE.. A99
1 1 0 ..FGBB..FGH..AAGH......ICCCDDI...EE. E99
1 1 0 ..FGBB..FGH..AAGH......ICCCDDIEE.... E98
1 1 0 ..FGBB..FGH..AAGH.......CCCDDI..EE.I I99
1 1 0 ..FGBB..FG...AAGH.....HICCCDDI..EE.. H99
1 1 0 ..FGBB..FGHI.AAGHI......CCCDD...EE.. I98
1 1 0 ..FGBB..FGH..AAGHI.....ICCCDD...EE.. I99
1 1 0 ..FGBB..FGH..AAGH......ICCCDDI.EE... E99
1 1 0 ..FGBB..FGH..AAGH......ICCCDDI....EE E98
2 2 0 ..F.BB..FGH..AAGH....G..CCCDDI..EE.I G99 I99
2 2 0 ..F.BB..FGH..AAGH....G.ICCCDDIEE.... G99 E98
2 2 0 ..FGBB..FGHI.AAGHI......CCCDD....EE. I98 E99
2 2 0 ..FGBB..FG...AAGH.....HICCCDDIEE.... H99 E98
2 2 0 ..FGBB..FGH..AAGHI.....ICCCDD.....EE I99 E98
2 2 0 ..FGBB..FGH..AAGHI.....ICCC.DD..EE.. I99 D99
2 2 0 ..FGBB..FGH..AAGH.......CCCDDI...EEI I99 E99
2 2 0 ..F.BB..FGHI.AAGHI...G..CCCDD...EE.. G99 I98
2 2 0 ..FGBB..FGH..AAGHI.....ICCCDD....EE. I99 E99
2 2 0 ..FGBB..FG...AAGH.....HICCCDDI...EE. H99 E99
2 2 0 ..F.BB..FGH..AAGHI...G.ICCCDD...EE.. G99 I99
2 2 0 ..FGBB..FGH.AA.GH......ICCCDDI.EE... A99 E99
2 2 0 ..FGBB..FGH.AA.GH......ICCCDDIEE.... A99 E98
2 2 0 ..FGBB..FGH.AA.GH......ICCCDDI....EE A99 E98
2 2 0 ..F.BB..FGH.AA.GH....G.ICCCDDI..EE.. G99 A99
2 2 0 ..FGBB..FGH.AA.GH......ICCCDDI...EE. A99 E99
2 2 0 ..FGBB..FGH.AA.GH.......CCCDDI..EE.I A99 I99
2 2 0 ..F.BB..FG...AAGH....GHICCCDDI..EE.. G99 H99
2 2 0 ..FGBB..FGHIAA.GHI......CCCDD...EE.. A99 I98
2 2 0 ..FGBB..FGH..AAGH.......CCCDDIEE...I I99 E98
2 2 0 ..FGBB..FGH..AAGHI.....ICCCDD..EE... I99 E99
2 2 0 ..FGBB..FGH.AA.GHI.....ICCCDD...EE.. A99 I99
2 2 0 ..FBB...FGH..AAGH....G.ICCCDDI..EE.. G99 B99
2 2 0 ..FGBB..FG..AA.GH.....HICCCDDI..EE.. H99 A99
2 2 0 ...GBB...GH.AAFGH...F..ICCCDDI..EE.. F98 A99
2 2 0 ...GBB..FGH.AAFGH......ICCCDDI..EE.. F99 A99
2 2 0 ..FGBB..FGH..AAGH.......CCCDDI.EE..I I99 E99
2 2 0 ..FGBB..FGHI.AAGHI......CCCDD.....EE I98 E98
2 2 0 ..FGBB..FGHI.AAGHI......CCCDD..EE... I98 E99
2 2 0 ..FGBB..FGHI.AAGHI......CCC.DD..EE.. I98 D99
2 2 0 ..F.BB..FGH..AAGH....G.ICCCDDI.EE... G99 E99
2 2 0 ..FGBB..FG...AAGH.....HICCCDDI....EE H99 E98
2 2 0 ..FGBB..FG.I.AAGHI....H.CCCDD...EE.. H99 I98
2 2 0 ..F.BB..FGH..AAGH....G.ICCCDDI....EE G99 E98
2 2 0 ..FGBB..FG...AAGHI....HICCCDD...EE.. H99 I99
2 2 0 ..FGBB..FG...AAGH.....HICCCDDI.EE... H99 E99
2 2 0 ..FGBB..FG...AAGH.....H.CCCDDI..EE.I H99 I99
2 2 0 ..F.BB..FGH..AAGH....G.ICCCDDI...EE. G99 E99
2 2 0 ..FGBB..FGHI.AAGHI......CCCDD.EE.... I98 E98
2 2 0 ..FGBB..FGH..AAGHI.....ICCCDD.EE.... I99 E98
3 3 0 ..F.BB..FGH..AAGH....G..CCCDDIEE...I G99 I99 E98
3 3 0 ..FGBB..FGHI.AAGHI......CCC.DD...EE. I98 D99 E99
3 3 0 ..FGBB..FGH..AAGHI.....ICCC.DD...EE. I99 D99 E99
3 3 0 ..FGBB..FGH.AA.GH.......CCCDDI...EEI A99 I99 E99
3 3 0 ..F.BB..FGH.AA.GH....G.ICCCDDI...EE. G99 A99 E99
3 3 0 ...GBB..FGH.AAFGHI.....ICCCDD...EE.. F99 A99 I99
3 3 0 ...GBB...GHIAAFGHI..F...CCCDD...EE.. F98 A99 I98
3 3 0 ..FGBB..FGH..AAGHI.....I.CCCDD..EE.. I99 C99 D99
3 3 0 ..F.BB..FGHI.AAGHI...G..CCCDD.EE.... G99 I98 E98
3 3 0 ..FGBB..FGH.AA.GHI.....ICCC.DD..EE.. A99 I99 D99
3 3 0 ..FGBB..FG...AAGHI....HICCC.DD..EE.. H99 I99 D99
3 3 0 ..FGBB..FG...AAGH.....H.CCCDDIEE...I H99 I99 E98
3 3 0 ..F.BB..F.H..AAGHI...G.ICCCGDD..EE.. G98 I99 D99
3 3 0 ..FGBB..FGH..AAGHI.....ICCC.DDEE.... I99 D99 E98
3 3 0 ..F.BB..FGH..AAGHI...G.ICCC.DD..EE.. G99 I99 D99
3 3 0 ..FGBB..FGH.AA.GHI.....ICCCDD.....EE A99 I99 E98
3 3 0 ..FGBB..FGH..AAGHI.....ICCC.DD....EE I99 D99 E98
3 3 0 ..FGBB..FG...AAGHI....HICCCDD.....EE H99 I99 E98
3 3 0 ..F.BB..FGH..AAGHI...G.ICCCDD.....EE G99 I99 E98
3 3 0 ..F.BB..FGHI.AAGHI...G..CCCDD..EE... G99 I98 E99
3 3 0 ..FGBB..FG..AA.GH.....HICCCDDI...EE. H99 A99 E99
3 3 0 ..FGBB..FGHIAA.GHI......CCCDD.....EE A99 I98 E98
3 3 0 ..FGBB..FG.I.AAGHI....H.CCCDD.EE.... H99 I98 E98
3 3 0 ..FGBB..FG...AAGHI....HICCCDD.EE.... H99 I99 E98
3 3 0 ..FGBB..FGH.AA.GHI.....ICCCDD....EE. A99 I99 E99
3 3 0 ..FGBB..FG..AA.GH.....HICCCDDIEE.... H99 A99 E98
3 3 0 ..FGBB..FGHIAA.GHI......CCCDD....EE. A99 I98 E99
3 3 0 ..F.BB..FGH..AAGHI...G.ICCCDD..EE... G99 I99 E99
3 3 0 ..FGBB..FGH.AA.GH.......CCCDDIEE...I A99 I99 E98
3 3 0 ..FGBB..FG.I.AAGHI....H.CCCDD....EE. H99 I98 E99
3 3 0 ...GBB..FGHIAAFGHI......CCCDD...EE.. F99 A99 I98
3 3 0 ..F.BB..FGHI.AAGHI...G..CCCDD....EE. G99 I98 E99
3 3 0 ..FGBB..FGH.AA.GH.......CCCDDI.EE..I A99 I99 E99
3 3 0 ..F.BB..FG...AAGH....GHICCCDDI....EE G99 H99 E98
3 3 0 ..FBB...FG...AAGH....GHICCCDDI..EE.. G99 B99 H99
3 3 0 ..F.BB..FGH..AAGHI...G.ICCCDD.EE.... G99 I99 E98
3 3 0 ...GBB...GH.AAFGH...F...CCCDDI..EE.I F98 A99 I99
3 3 0 ...GBB..FGH.AAFGH.......CCCDDI..EE.I F99 A99 I99
3 3 0 ..F.BB..FGH.AA.GH....G.ICCCDDIEE.... G99 A99 E98
3 3 0 ...GBB..FGH.AAFGH......ICCCDDI...EE. F99 A99 E99
3 3 0 ...GBB...GH.AAFGH...F..ICCCDDI...EE. F98 A99 E99
3 3 0 ..F.BB..FG...AAGH....GHICCCDDI.EE... G99 H99 E99
3 3 0 ..FGBB..FG..AA.GHI....HICCCDD...EE.. H99 A99 I99
3 3 0 ...GBB...GH.AAFGHI..F..ICCCDD...EE.. F98 A99 I99
3 3 0 ..F.BB..FG..AA.GH....GHICCCDDI..EE.. G99 H99 A99
3 3 0 ..F.BB..FG...AAGH....GHICCCDDIEE.... G99 H99 E98
3 3 0 ..FBB...FGH.AA.GH....G.ICCCDDI..EE.. G99 B99 A99
3 3 0 ....BB...GH.AAFGH...FG.ICCCDDI..EE.. F98 G99 A99
3 3 0 ..FBB...FGH..AAGH....G.ICCCDDIEE.... G99 B99 E98
3 3 0 ....BB..FGH.AAFGH....G.ICCCDDI..EE.. F99 G99 A99
3 3 0 ..FGBB..FG..AA.GH.....H.CCCDDI..EE.I H99 A99 I99
3 3 0 ..FGBB..FG..AA.GH.....HICCCDDI....EE H99 A99 E98
3 3 0 ..F.BB..FGH..AAGH....G..CCCDDI.EE..I G99 I99 E99
3 3 0 ..F.BB..FGH.AA.GH....G.ICCCDDI....EE G99 A99 E98
