0 0 0 ..GBBB..GCCC.AAHIJ...HIJ.DDH.KEEEFFK
1 1 0 ..GBBB..GCCCAA.HIJ...HIJ.DDH.KEEEFFK A99
1 1 0 ..GBBB..GCCC.AAH.J...HIJ.DDHIKEEEFFK I99
1 1 0 ..GBBB..GCCC.AAHIJ...HIJDD.H.KEEEFFK D99
2 2 0 ...BBB..GCCCAAGHIJ...HIJ.DDH.KEEEFFK G99 A99
2 2 0 ..GBBB..GCCC.AAH.J...HIJDD.HIKEEEFFK I99 D99
2 2 0 ..GBBB..GCCCAA.HIJ...HIJDD.H.KEEEFFK A99 D99
2 2 0 ..GBBB..GCCCAA.H.J...HIJ.DDHIKEEEFFK A99 I99
2 2 0 ...BBB...CCCAAGHIJ..GHIJ.DDH.KEEEFFK G98 A99
3 3 0 BBB.....GCCCAAGHIJ...HIJ.DDH.KEEEFFK G99 B97 A99
3 3 0 ...BBB..GCCCAAGHIJ...HIJDD.H.KEEEFFK G99 A99 D99
3 3 0 ...BBB...CCCAAGH.J..GHIJ.DDHIKEEEFFK G98 A99 I99
3 3 0 ...BBB.CCC..AAGHIJ..GHIJ.DDH.KEEEFFK G98 C98 A99
3 3 0 ...BBBCCC...AAGHIJ..GHIJ.DDH.KEEEFFK G98 C97 A99
3 3 0 .BBB....GCCCAAGHIJ...HIJ.DDH.KEEEFFK G99 B98 A99
3 3 0 ...BBB..CCC.AAGHIJ..GHIJ.DDH.KEEEFFK G98 C99 A99
3 3 0 BBB......CCCAAGHIJ..GHIJ.DDH.KEEEFFK G98 B97 A99
3 3 0 ..BBB...GCCCAAGHIJ...HIJ.DDH.KEEEFFK G99 B99 A99
3 3 0 ...BBB...CCCAA.HIJ..GHIJDDGH.KEEEFFK G97 A99 D99
3 3 0 .BBB.....CCCAAGHIJ..GHIJ.DDH.KEEEFFK G98 B98 A99
3 3 0 ..BBB....CCCAAGHIJ..GHIJ.DDH.KEEEFFK G98 B99 A99
3 3 0 ...BBB..GCCCAAGH.J...HIJ.DDHIKEEEFFK G99 A99 I99
3 3 0 ...BBB...CCCAAGHIJ..GHIJDD.H.KEEEFFK G98 A99 D99
3 3 0 ..GBBB..GCCCAA.H.J...HIJDD.HIKEEEFFK A99 I99 D99
4 4 0 BBB.....GCCCAAGH.J...HIJ.DDHIKEEEFFK G99 B97 A99 I99
4 4 0 ...BBB..GCCCAAGH.J...HIJDD.HIKEEEFFK G99 A99 I99 D99
4 4 0 BBB...CCC...AAGHIJ..GHIJ.DDH.KEEEFFK G98 B97 C97 A99
4 4 0 .BBB....GCCCAAGH.J...HIJ.DDHIKEEEFFK G99 B98 A99 I99
4 4 0 ...BBBCCC...AA.HIJ..GHIJDDGH.KEEEFFK G97 C97 A99 D99
4 4 0 ...BBB.CCC..AA.HIJ..GHIJDDGH.KEEEFFK G97 C98 A99 D99
4 4 0 .BBB..CCC...AAGHIJ..GHIJ.DDH.KEEEFFK G98 B98 C97 A99
4 4 0 BBB.....GCCCAAGHIJ...HIJDD.H.KEEEFFK G99 B97 A99 D99
4 4 0 ..BBB.CCC...AAGHIJ..GHIJ.DDH.KEEEFFK G98 B99 C97 A99
4 4 0 ...BBB.CCC.JAAGHIJ..GHI..DDH.KEEEFFK G98 C98 A99 J99
4 4 0 ...BBB...CCCAAGH.J..GHIJDD.HIKEEEFFK G98 A99 I99 D99
4 4 0 ...BBB.CCCI.AAGHIJ..GH.J.DDH.KEEEFFK G98 C98 A99 I99
4 4 0 ...BBBCCC...AAGHIJ..GHIJDD.H.KEEEFFK G98 C97 A99 D99
4 4 0 BBB....CCC..AAGHIJ..GHIJ.DDH.KEEEFFK G98 B97 C98 A99
4 4 0 .BBB...CCC..AAGHIJ..GHIJ.DDH.KEEEFFK G98 B98 C98 A99
4 4 0 ...BBB.CCC..AAGHIJ..GHIJDD.H.KEEEFFK G98 C98 A99 D99
4 4 0 ..BBB..CCC..AAGHIJ..GHIJ.DDH.KEEEFFK G98 B99 C98 A99
4 4 0 ...BBBCCC...AAGH.J..GHIJ.DDHIKEEEFFK G98 C97 A99 I99
4 4 0 ...BBB..CCC.AAGHIJ..GHIJDD.H.KEEEFFK G98 C99 A99 D99
4 4 0 ..BBB...GCCCAAGH.J...HIJ.DDHIKEEEFFK G99 B99 A99 I99
4 4 0 ...BBB...CCC.AAHIJ..GHIJDDGH.KEEEFFK G97 A98 D99
4 4 0 ...BBB.CCC..AAGH.J..GHIJ.DDHIKEEEFFK G98 C98 A99 I99
4 4 0 ...BBB..CCC.AAGH.J..GHIJ.DDHIKEEEFFK G98 C99 A99 I99
4 4 0 BBB......CCCAAGHIJ..GHIJDD.H.KEEEFFK G98 B97 A99 D99
4 4 0 ...BBB..CCC.AA.HIJ..GHIJDDGH.KEEEFFK G97 C99 A99 D99
4 4 0 BBB......CCCAAGH.J..GHIJ.DDHIKEEEFFK G98 B97 A99 I99
4 4 0 BBB......CCCAA.HIJ..GHIJDDGH.KEEEFFK G97 B97 A99 D99
4 4 0 .BBB.....CCCAA.HIJ..GHIJDDGH.KEEEFFK G97 B98 A99 D99
4 4 0 .BBB.....CCCAAGH.J..GHIJ.DDHIKEEEFFK G98 B98 A99 I99
4 4 0 ..BBB....CCCAA.HIJ..GHIJDDGH.KEEEFFK G97 B99 A99 D99
4 4 0 ...BBB...CCCAA.H.J..GHIJDDGHIKEEEFFK G97 A99 I99 D99
4 4 0 ..BBB....CCCAAGHIJ..GHIJDD.H.KEEEFFK G98 B99 A99 D99
4 4 0 ...BBB..CCCJAAGHIJ..GHI..DDH.KEEEFFK G98 C99 A99 J99
4 4 0 ..BBB....CCCAAGH.J..GHIJ.DDHIKEEEFFK G98 B99 A99 I99
4 4 0 BBB.....CCC.AAGHIJ..GHIJ.DDH.KEEEFFK G98 B97 C99 A99
4 4 0 .BBB....CCC.AAGHIJ..GHIJ.DDH.KEEEFFK G98 B98 C99 A99
4 4 0 .BBB....GCCCAAGHIJ...HIJDD.H.KEEEFFK G99 B98 A99 D99
4 4 0 ..BBB...CCC.AAGHIJ..GHIJ.DDH.KEEEFFK G98 B99 C99 A99
4 4 0 .BBB.....CCCAAGHIJ..GHIJDD.H.KEEEFFK G98 B98 A99 D99
4 4 0 ...BBBCCC..JAAGHIJ..GHI..DDH.KEEEFFK G98 C97 A99 J99
4 4 0 ..BBB...GCCCAAGHIJ...HIJDD.H.KEEEFFK G99 B99 A99 D99
4 4 0 ...BBBCCC.I.AAGHIJ..GH.J.DDH.KEEEFFK G98 C97 A99 I99
4 4 0 ...BBBCCCH..AAGHIJ..GHIJ.DD..KEEEFFK G98 C97 A99 H99
5 5 0 BBB.....GCCCAAGH.J...HIJDD.HIKEEEFFK G99 B97 A99 I99 D99
5 5 0 BBB...CCC...AAGHIJ..GHIJDD.H.KEEEFFK G98 B97 C97 A99 D99
5 5 0 .BBB..CCCH..AAGHIJ..GHIJ.DD..KEEEFFK G98 B98 C97 A99 H99
5 5 0 .BBB..CCC...AAGHIJ..GHIJDD.H.KEEEFFK G98 B98 C97 A99 D99
5 5 0 .BBB...CCC..AAGHIJ..GHIJDD.H.KEEEFFK G98 B98 C98 A99 D99
5 5 0 ...BBBCCCHI.AAGHIJ..GH.J.DD..KEEEFFK G98 C97 A99 H99 I99
5 5 0 ...BBBCCCH..AAGHIJ..GHIJ...DDKEEEFFK G98 C97 A99 H99 D98
5 5 0 ...BBBCCCH..AAGHIJ..GHIJ..DD.KEEEFFK G98 C97 A99 H99 D99
5 5 0 ...BBB.CCC..AA.H.J..GHIJDDGHIKEEEFFK G97 C98 A99 I99 D99
5 5 0 .BBB....GCCCAAGH.J...HIJDD.HIKEEEFFK G99 B98 A99 I99 D99
5 5 0 ...BBB.CCCI.AA.HIJ..GH.JDDGH.KEEEFFK G97 C98 A99 I99 D99
5 5 0 ...BBB.CCC...AAHIJ..GHIJDDGH.KEEEFFK G97 C98 A98 D99
5 5 0 BBB..JCCC..JAAGHI...GHI..DDH.KEEEFFK G98 B97 C97 A99 J98
5 5 0 BBB....CCC..AA.HIJ..GHIJDDGH.KEEEFFK G97 B97 C98 A99 D99
5 5 0 ...BBB.CCC.JAA.HIJ..GHI.DDGH.KEEEFFK G97 C98 A99 J99 D99
5 5 0 .BBB...CCC..AA.HIJ..GHIJDDGH.KEEEFFK G97 B98 C98 A99 D99
5 5 0 ...BBBCCC...AA.H.J..GHIJDDGHIKEEEFFK G97 C97 A99 I99 D99
5 5 0 ..BBB..CCC..AA.HIJ..GHIJDDGH.KEEEFFK G97 B99 C98 A99 D99
5 5 0 ...BBBCCC..JAA.HIJ..GHI.DDGH.KEEEFFK G97 C97 A99 J99 D99
5 5 0 ...BBBCCC.I.AA.HIJ..GH.JDDGH.KEEEFFK G97 C97 A99 I99 D99
5 5 0 .BBB.JCCC..JAAGHI...GHI..DDH.KEEEFFK G98 B98 C97 A99 J98
5 5 0 ...BBB.CCC.JAAGHIJ..GHIK.DDH.KEEEFF. G98 C98 A99 J99 K99
5 5 0 BBB....CCC..AAGHIJ..GHIJDD.H.KEEEFFK G98 B97 C98 A99 D99
5 5 0 ...BBBCCCH..AA.HIJ..GHIJDDG..KEEEFFK G97 C97 A99 H99 D99
5 5 0 ...BBBCCC....AAHIJ..GHIJDDGH.KEEEFFK G97 C97 A98 D99
5 5 0 ..BBB.CCC...AAGHIJ..GHIJDD.H.KEEEFFK G98 B99 C97 A99 D99
5 5 0 BBB...CCC...AA.HIJ..GHIJDDGH.KEEEFFK G97 B97 C97 A99 D99
5 5 0 ...BBBCCCH.JAAGHIJ..GHI..DD..KEEEFFK G98 C97 A99 H99 J99
5 5 0 .BBB..CCC...AA.HIJ..GHIJDDGH.KEEEFFK G97 B98 C97 A99 D99
5 5 0 ...BBBCCC...AAGH.J..GHIJDD.HIKEEEFFK G98 C97 A99 I99 D99
5 5 0 ...BBBCCC..JAAGHIJ..GHI.DD.H.KEEEFFK G98 C97 A99 J99 D99
5 5 0 .BBB....CCC.AAGH.J..GHIJ.DDHIKEEEFFK G98 B98 C99 A99 I99
5 5 0 ..BBB...CCC.AAGH.J..GHIJ.DDHIKEEEFFK G98 B99 C99 A99 I99
5 5 0 ..BBB.CCC...AA.HIJ..GHIJDDGH.KEEEFFK G97 B99 C97 A99 D99
5 5 0 BBB......CCC.AAHIJ..GHIJDDGH.KEEEFFK G97 B97 A98 D99
5 5 0 .BBB.....CCC.AAHIJ..GHIJDDGH.KEEEFFK G97 B98 A98 D99
5 5 0 BBB...CCC..JAAGHIJ..GHI..DDH.KEEEFFK G98 B97 C97 A99 J99
5 5 0 ...BBB.CCCI.AAGHIJ..GH.JDD.H.KEEEFFK G98 C98 A99 I99 D99
5 5 0 ..BBB....CCC.AAHIJ..GHIJDDGH.KEEEFFK G97 B99 A98 D99
5 5 0 .BBB....CCC.AAGHIJ..GHIJDD.H.KEEEFFK G98 B98 C99 A99 D99
5 5 0 BBB...CCC...AAGH.J..GHIJ.DDHIKEEEFFK G98 B97 C97 A99 I99
5 5 0 ..BBB...CCC.AAGHIJ..GHIJDD.H.KEEEFFK G98 B99 C99 A99 D99
5 5 0 ...BBBCCCH..AAGH.J..GHIJ.DD.IKEEEFFK G98 C97 A99 H99 I99
5 5 0 BBB.I.CCC.I.AAGH.J..GH.J.DDH.KEEEFFK G98 B97 C97 A99 I98
5 5 0 .BBB.J.CCC.JAAGHI...GHI..DDH.KEEEFFK G98 B98 C98 A99 J98
5 5 0 ..BBB..CCC..AAGH.J..GHIJ.DDHIKEEEFFK G98 B99 C98 A99 I99
5 5 0 ...BBBCCC..JAAGH.J..GHI..DDHIKEEEFFK G98 C97 A99 I99 J99
5 5 0 ...BBB..CCCJAA.HIJ..GHI.DDGH.KEEEFFK G97 C99 A99 J99 D99
5 5 0 ...BBBCCC.IJAAGHIJ..GH...DDH.KEEEFFK G98 C97 A99 I99 J99
5 5 0 ..BBB..CCC..AAGHIJ..GHIJDD.H.KEEEFFK G98 B99 C98 A99 D99
5 5 0 BBB...CCC.I.AAGHIJ..GH.J.DDH.KEEEFFK G98 B97 C97 A99 I99
5 5 0 .BBB...CCC..AAGH.J..GHIJ.DDHIKEEEFFK G98 B98 C98 A99 I99
5 5 0 .BBBI..CCCI.AAGH.J..GH.J.DDH.KEEEFFK G98 B98 C98 A99 I98
5 5 0 BBBH..CCCH..AAGHIJ..G.IJ.DD..KEEEFFK G98 B97 C97 A99 H98
5 5 0 BBB..J.CCC.JAAGHI...GHI..DDH.KEEEFFK G98 B97 C98 A99 J98
5 5 0 ..BBBJ.CCC.JAAGHI...GHI..DDH.KEEEFFK G98 B99 C98 A99 J98
5 5 0 BBB....CCC..AAGH.J..GHIJ.DDHIKEEEFFK G98 B97 C98 A99 I99
5 5 0 BBB...CCCH..AAGHIJ..GHIJ.DD..KEEEFFK G98 B97 C97 A99 H99
5 5 0 BBB.I..CCCI.AAGH.J..GH.J.DDH.KEEEFFK G98 B97 C98 A99 I98
5 5 0 ...BBBCCC.I.AAGHIJ..GH.JDD.H.KEEEFFK G98 C97 A99 I99 D99
5 5 0 ..BBB...GCCCAAGH.J...HIJDD.HIKEEEFFK G99 B99 A99 I99 D99
